Date,Open,High,Low,Close,P_Open,Error,Pred Dir,Act Dir,Correct
2017-01-22,921.98,937.74,886.76,919.39,,,,,
2017-01-23,923.75,927.57,913.21,921.39,,,,,
2017-01-24,913.15,923,886.27,893,,,,,
2017-01-25,885.47,904.01,884.5,892.95,,,,,
2017-01-26,893.25,919.49,892.86,916.34,,,,,
2017-01-27,914.95,924.88,908.01,917.84,,,,,
2017-01-28,918.02,920.99,913.08,917.75,,,,,
2017-01-29,918.6,919.99,910.45,913.1,,,,,
2017-01-30,913.12,923,910,921.08,,,,,
2017-01-31,919.99,970,917.5,965.01,,,,,
2017-02-01,963.99,986.96,962,983.36,,,,,
2017-02-02,983.79,1011.65,973.12,1008.18,,,,,
2017-02-03,1009.15,1022.64,987.01,1012.64,,,,,
2017-02-04,1015.06,1044.23,1004,1034.44,,,,,
2017-02-05,1033.72,1034.6,1004.7,1014.57,,,,,
2017-02-06,1010.03,1031.94,1005.1,1023.7,,,,,
2017-02-07,1024,1056.25,1021.3,1054.12,,,,,
2017-02-08,1052.48,1070,1025,1056.99,,,,,
2017-02-09,1051.73,1074.69,913.73,981.96,,,,,
2017-02-10,985.71,1010.68,950,997.57,,,,,
2017-02-11,995.49,1020,987.62,1011.98,,,,,
2017-02-12,1011.01,1011.97,991.98,1001.63,,,,,
2017-02-13,1000.73,1007.89,975.1,1000.25,,,,,
2017-02-14,1000.74,1019,987.97,1011.51,,,,,
2017-02-15,1008.88,1013.8,1000.97,1011.53,,,,,
2017-02-16,1011.53,1043.21,1010.75,1032.7,,,,,
2017-02-17,1032.7,1064.99,1031.98,1055.46,,,,,
2017-02-18,1055.46,1068.99,1046.14,1056.4,,,,,
2017-02-19,1056.4,1061.9,1039.07,1051.8,,,,,
2017-02-20,1051.8,1089.99,1044.39,1084,,,,,
2017-02-21,1084,1126.86,1077,1124.62,,,,,
2017-02-22,1124.62,1143,1098.16,1130.01,,,,,
2017-02-23,1130.01,1193.92,1120.73,1188.11,,,,,
2017-02-24,1188.11,1220,1091.1,1180.14,,,,,
2017-02-25,1180.14,1184.73,1127,1152.2,,,,,
2017-02-26,1152.2,1184.97,1133,1179.05,,,,,
2017-02-27,1179.05,1197.99,1169,1194.64,,,,,
2017-02-28,1194.64,1209.99,1176.27,1191.21,,,,,
2017-03-01,1191.21,1231,1188.3,1226.39,,,,,
2017-03-02,1226.39,1283.25,1215,1257.6,,,,,
2017-03-03,1257.6,1298,1255,1285.33,,,,,
2017-03-04,1285.33,1289.55,1230,1260,,,,,
2017-03-05,1260,1275,1240,1273,,,,,
2017-03-06,1273,1285,1251,1278.49,,,,,
2017-03-07,1278.49,1281.62,1175.97,1233.05,,,,,
2017-03-08,1233.05,1245.49,1145.5,1150.05,,,,,
2017-03-09,1150.05,1208,1135.01,1190.89,,,,,
2017-03-10,1190.89,1350,975,1116.97,,,,,
2017-03-11,1116.97,1198,1106.51,1176.55,,,,,
2017-03-12,1176.55,1241.85,1170.9,1226.62,,,,,
2017-03-13,1226.62,1249.02,1215.43,1242.46,,,,,
2017-03-14,1242.46,1260,1226.5,1245.86,,,,,
2017-03-15,1245.86,1260,1238.32,1257.32,,,,,
2017-03-16,1257.32,1258.96,1130,1172.62,,,,,
2017-03-17,1172.62,1173.23,1063,1071.02,,,,,
2017-03-18,1071.02,1099,944.36,969.4,,,,,
2017-03-19,969.4,1063.7,969.4,1017.97,,,,,
2017-03-20,1017.97,1053,1010.01,1035.96,,,,,
2017-03-21,1035.96,1117.9,1034.92,1114.39,,,,,
2017-03-22,1114.39,1114.39,988,1037.56,,,,,
2017-03-23,1037.56,1054.4,1010.69,1029.65,,,,,
2017-03-24,1029.65,1032,920,929.06,,,,,
2017-03-25,929.06,963.36,891.33,956.02,,,,,
2017-03-26,956.02,997,937.52,960,,,,,
2017-03-27,960,1043,952.95,1039.92,,,,,
2017-03-28,1039.92,1068.26,1014.9,1043.99,,,,,
2017-03-29,1043.99,1059.43,1008.16,1035.96,,,,,
2017-03-30,1035.96,1050.17,1017.14,1033.7,,,,,
2017-03-31,1033.7,1081,1031.43,1070.31,,,,,
2017-04-01,1070.31,1097,1061.64,1083.94,,,,,
2017-04-02,1083.94,1100,1066.49,1078.01,,,,,
2017-04-03,1078.01,1152,1076.19,1144.77,,,,,
2017-04-04,1144.77,1162.93,1118.85,1143,,,,,
2017-04-05,1143,1145,1111,1134.58,,,,,
2017-04-06,1134.58,1201.37,1134.36,1190.85,,,,,
2017-04-07,1190.85,1202,1176,1190.66,,,,,
2017-04-08,1190.66,1197.3,1166.66,1184.03,,,,,
2017-04-09,1184.03,1216.87,1173.98,1206.2,,,,,
2017-04-10,1206.2,1219.71,1195,1209.25,,,,,
2017-04-11,1209.25,1229,1198.02,1218.99,,,,,
2017-04-12,1218.99,1224.57,1208,1212.17,,,,,
2017-04-13,1212.17,1219.45,1141,1172.91,,,,,
2017-04-14,1172.91,1193,1142,1170.34,,,,,
2017-04-15,1170.34,1192.5,1165,1173.45,,,,,
2017-04-16,1173.45,1179.3,1150,1162.31,,,,,
2017-04-17,1162.31,1192.5,1161,1176.54,,,,,
2017-04-18,1176.54,1210,1175.95,1202.58,,,,,
2017-04-19,1202.58,1209.99,1190,1203.98,,,,,
2017-04-20,1203.98,1243.88,1201.66,1234.19,,,,,
2017-04-21,1234.19,1252.32,1231.65,1243.61,,,,,
2017-04-22,1243.61,1247.15,1199,1233.2,,,,,
2017-04-23,1233.2,1248.99,1223.42,1241.99,,,,,
2017-04-24,1241.99,1254,1234,1253.58,,,,,
2017-04-25,1253.58,1280,1251.07,1269,,,,,
2017-04-26,1269,1330,1265,1287.99,,,,,
2017-04-27,1287.99,1342.02,1285,1331.53,,,,,
2017-04-28,1331.53,1347.02,1299,1330.7,,,,,
2017-04-29,1330.7,1342.8,1316,1333,,,,,
2017-04-30,1333,1356,1315.68,1350.21,,,,,
2017-05-01,1350.21,1425,1341.22,1390.86,,,,,
2017-05-02,1390.86,1481.73,1388,1447.75,,,,,
2017-05-03,1447.75,1516.04,1431.02,1503.22,,,,,
2017-05-04,1503.22,1623.01,1444.94,1537.23,,,,,
2017-05-05,1537.23,1609,1495,1514.9,,,,,
2017-05-06,1514.9,1578.97,1505,1558.02,,,,,
2017-05-07,1558.02,1565,1525,1554.01,,,,,
2017-05-08,1554.01,1653.97,1554.01,1649.54,,,,,
2017-05-09,1649.54,1760.4,1616.05,1720.28,,,,,
2017-05-10,1720.28,1794.21,1682,1772.58,,,,,
2017-05-11,1772.58,1892,1745.01,1828.45,,,,,
2017-05-12,1828.45,1832,1650,1691.51,,,,,
2017-05-13,1691.51,1785.82,1601.46,1776.89,,,,,
2017-05-14,1776.89,1815,1753,1784,,,,,
2017-05-15,1784,1784,1682.56,1705.48,,,,,
2017-05-16,1705.48,1750,1641.22,1700.01,,,,,
2017-05-17,1700.01,1840.42,1670.01,1782.99,,,,,
2017-05-18,1782.99,1881.8,1766.33,1878.99,,,,,
